GEO_ID,NAME,TOTAL,WHITE,BLACK,AIAH,ASIAN,NHOPI,OTHER,TWOMORE
1500000US421010001011,"Block Group 1, Census Tract 1.01, Philadelphia County, Pennsylvania",26,10,2,0,0,0,0,14
1500000US421010001012,"Block Group 2, Census Tract 1.01, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1500000US421010001013,"Block Group 3, Census Tract 1.01, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1500000US421010001014,"Block Group 4, Census Tract 1.01, Philadelphia County, Pennsylvania",1340,1042,73,4,126,0,15,80
1500000US421010001015,"Block Group 5, Census Tract 1.01, Philadelphia County, Pennsylvania",963,777,32,0,75,0,18,61
1500000US421010001021,"Block Group 1, Census Tract 1.02, Philadelphia County, Pennsylvania",1374,1065,63,3,109,1,29,104
1500000US421010001022,"Block Group 2, Census Tract 1.02, Philadelphia County, Pennsylvania",17,11,2,0,0,0,0,4
1500000US421010001023,"Block Group 3, Census Tract 1.02, Philadelphia County, Pennsylvania",888,737,31,2,78,0,7,33
1500000US421010001024,"Block Group 4, Census Tract 1.02, Philadelphia County, Pennsylvania",577,439,29,0,51,0,16,42
1500000US421010001025,"Block Group 5, Census Tract 1.02, Philadelphia County, Pennsylvania",655,508,21,1,52,0,22,51
1500000US421010002001,"Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",2213,412,74,3,1615,0,20,89
1500000US421010002002,"Block Group 2, Census Tract 2, Philadelphia County, Pennsylvania",586,283,37,1,223,0,10,32
1500000US421010002003,"Block Group 3, Census Tract 2, Philadelphia County, Pennsylvania",534,121,140,2,234,0,6,31
1500000US421010002004,"Block Group 4, Census Tract 2, Philadelphia County, Pennsylvania",34,22,8,1,0,0,2,1
1500000US421010003001,"Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",1344,1051,71,0,123,1,17,81
1500000US421010003002,"Block Group 2, Census Tract 3, Philadelphia County, Pennsylvania",222,148,11,0,43,0,3,17
1500000US421010003003,"Block Group 3, Census Tract 3, Philadelphia County, Pennsylvania",1096,789,59,0,159,1,20,68
1500000US421010003004,"Block Group 4, Census Tract 3, Philadelphia County, Pennsylvania",751,475,64,0,108,0,30,74
1500000US421010003005,"Block Group 5, Census Tract 3, Philadelphia County, Pennsylvania",1088,713,113,0,214,1,5,42
1500000US421010004011,"Block Group 1, Census Tract 4.01, Philadelphia County, Pennsylvania",1314,903,90,3,201,0,23,94
1500000US421010004012,"Block Group 2, Census Tract 4.01, Philadelphia County, Pennsylvania",760,430,93,0,163,0,24,50
1500000US421010004013,"Block Group 3, Census Tract 4.01, Philadelphia County, Pennsylvania",1049,448,74,3,432,0,6,86
1500000US421010004031,"Block Group 1, Census Tract 4.03, Philadelphia County, Pennsylvania",20,11,1,1,0,0,0,7
1500000US421010004032,"Block Group 2, Census Tract 4.03, Philadelphia County, Pennsylvania",1119,796,77,2,169,0,6,69
1500000US421010004041,"Block Group 1, Census Tract 4.04, Philadelphia County, Pennsylvania",1062,857,26,4,109,0,15,51
1500000US421010004042,"Block Group 2, Census Tract 4.04, Philadelphia County, Pennsylvania",2036,1656,70,0,213,0,8,89
1500000US421010004043,"Block Group 3, Census Tract 4.04, Philadelphia County, Pennsylvania",724,526,23,0,111,0,18,46
1500000US421010005001,"Block Group 1, Census Tract 5, Philadelphia County, Pennsylvania",808,445,185,1,126,0,19,32
1500000US421010005002,"Block Group 2, Census Tract 5, Philadelphia County, Pennsylvania",33,12,20,1,0,0,0,0
1500000US421010005003,"Block Group 3, Census Tract 5, Philadelphia County, Pennsylvania",1066,660,61,3,253,0,20,69
1500000US421010005004,"Block Group 4, Census Tract 5, Philadelphia County, Pennsylvania",1707,736,609,3,314,0,8,37
1500000US421010006001,"Block Group 1, Census Tract 6, Philadelphia County, Pennsylvania",1161,799,59,4,183,0,34,82
1500000US421010006002,"Block Group 2, Census Tract 6, Philadelphia County, Pennsylvania",1156,804,55,1,149,0,22,125
1500000US421010007011,"Block Group 1, Census Tract 7.01, Philadelphia County, Pennsylvania",679,512,37,2,79,1,3,45
1500000US421010007012,"Block Group 2, Census Tract 7.01, Philadelphia County, Pennsylvania",849,656,75,0,69,0,9,40
1500000US421010007013,"Block Group 3, Census Tract 7.01, Philadelphia County, Pennsylvania",1194,792,53,5,251,0,17,76
1500000US421010007021,"Block Group 1, Census Tract 7.02, Philadelphia County, Pennsylvania",699,558,31,0,68,0,13,29
1500000US421010007022,"Block Group 2, Census Tract 7.02, Philadelphia County, Pennsylvania",1313,781,60,1,335,1,30,105
1500000US421010008011,"Block Group 1, Census Tract 8.01, Philadelphia County, Pennsylvania",515,383,15,0,49,0,14,54
1500000US421010008012,"Block Group 2, Census Tract 8.01, Philadelphia County, Pennsylvania",1233,1022,43,6,98,0,7,57
1500000US421010008031,"Block Group 1, Census Tract 8.03, Philadelphia County, Pennsylvania",868,665,27,3,86,1,17,69
1500000US421010008032,"Block Group 2, Census Tract 8.03, Philadelphia County, Pennsylvania",1314,1030,39,0,136,0,11,98
1500000US421010008033,"Block Group 3, Census Tract 8.03, Philadelphia County, Pennsylvania",917,759,18,0,84,0,11,45
